commit	reference	budget	depth	split_type	leaf_type	warm_start	learned_return	vi_optimum	base_stock_gate	gap_vs_vi_pct	gap_vs_gate	gap_vs_gate_pct	verdict	description
01c657a	de_moor2022_m2_exp2_l1_cp7_fifo	full	2	oblique	linear	True	-1457.9032	-1457.2813	-1475.0825	-0.0427	17.1793	1.1646	beats	full: depth-2 oblique linear, warm-started at base-stock S=7, validation-block selection (FIFO primary)
01c657a	de_moor2022_m2_exp1_l1_cp7_lifo	full	2	oblique	linear	True	-1553.1608	-1552.9908	-1565.9833	-0.0109	12.8225	0.8188	beats	full: depth-2 oblique linear, warm-started at base-stock S=5, validation-block selection (LIFO verification)
7b4da10	de_moor2022_m2_exp4_l1_cp10_fifo	full	2	oblique	linear	True	-1464.0593	-1463.5067	-1485.3997	-0.0378	21.3405	1.4367	beats	full: depth-2 oblique linear, warm-started at best base-stock, validation-block selection (FIFO m=2 L=1 cw=10)
7b4da10	de_moor2022_m3_exp2_l1_cp7_fifo	full	2	oblique	linear	True	-1425.2046	-1424.3936	-1435.2962	-0.0569	10.0916	0.7031	beats	full: depth-2 oblique linear, warm-started at best base-stock, validation-block selection (FIFO m=3 L=1 cw=7)
7b4da10	de_moor2022_m2_exp6_l2_cp7_fifo	full	2	oblique	linear	True	-1462.4521	-1461.2958	-1495.4395	-0.0791	32.9874	2.2059	beats	full: depth-2 oblique linear, warm-started at best base-stock, validation-block selection (FIFO m=2 L=2 cw=7, in-transit pipeline)
